school_id,block_id,hour,shortest_len_m,coolest_len_m,shortest_mean_c,coolest_mean_c,delta_mean_c,shortest_dose,coolest_dose,delta_dose_pct,detour_ratio
sch_ridgewood_park_elementary,120950123052001,15:00,3083.2,3342.6,37.97,37.22,-0.75,213.01,195.89,-8.0,1.084
sch_rosemont_elementary,120950151032000,15:00,5178.5,5333.5,37.4,36.83,-0.57,316.67,283.79,-10.4,1.03
sch_rosemont_elementary,120950151031005,15:00,5178.5,5333.5,37.4,36.83,-0.57,316.67,283.79,-10.4,1.03
sch_rosemont_elementary,120950151031001,15:00,5178.5,5333.5,37.4,36.83,-0.57,316.67,283.79,-10.4,1.03
sch_maynard_evans_high,120950183002001,15:00,5629.8,5690.6,38.14,37.59,-0.55,402.27,362.8,-9.8,1.011
sch_maynard_evans_high,120950183002060,15:00,6281.0,6363.0,38.13,37.59,-0.54,447.94,405.98,-9.4,1.013
sch_maynard_evans_high,120950183002036,15:00,6015.9,6168.0,38.12,37.58,-0.54,427.42,392.26,-8.2,1.025
sch_maynard_evans_high,120950183002037,15:00,6015.9,6168.0,38.12,37.58,-0.54,427.42,392.26,-8.2,1.025
sch_maynard_evans_high,120950187002034,15:00,5762.4,5832.9,38.13,37.59,-0.54,410.79,371.84,-9.5,1.012
sch_maynard_evans_high,120950183002058,15:00,6409.1,6637.8,38.14,37.62,-0.52,457.24,425.5,-6.9,1.036
sch_rosemont_elementary,120950151032013,15:00,3863.3,3969.3,37.44,36.94,-0.5,238.19,217.41,-8.7,1.027
sch_maynard_evans_high,120950105001034,15:00,9941.2,10171.0,37.75,37.28,-0.47,655.66,604.79,-7.8,1.023
sch_maynard_evans_high,120950189021061,15:00,9941.2,10171.0,37.75,37.28,-0.47,655.66,604.79,-7.8,1.023
sch_maynard_evans_high,120950189021060,15:00,9941.2,10171.0,37.75,37.28,-0.47,655.66,604.79,-7.8,1.023
sch_rosemont_elementary,120950151032014,15:00,2957.3,2988.7,37.43,36.96,-0.47,182.02,164.5,-9.6,1.011
sch_rosemont_elementary,120950151064009,15:00,2970.2,3006.1,37.43,36.97,-0.46,182.83,165.6,-9.4,1.012
sch_maynard_evans_high,120950185003008,15:00,11078.4,11525.1,37.61,37.16,-0.45,709.34,666.0,-6.1,1.04
sch_maynard_evans_high,120950185003001,15:00,10986.4,11433.7,37.62,37.17,-0.45,705.45,662.12,-6.1,1.041
sch_maynard_evans_high,120950105001035,15:00,9644.1,9851.3,37.78,37.33,-0.45,640.51,592.46,-7.5,1.021
sch_rosemont_elementary,120950151064010,15:00,2679.1,2744.6,37.41,36.96,-0.45,163.98,150.8,-8.0,1.024
