station,valid,tmpc
PHX,2026-08-18 00:51,43.89
PHX,2026-08-18 01:51,42.78
PHX,2026-08-18 02:51,41.67
PHX,2026-08-18 03:51,41.11
PHX,2026-08-18 04:51,38.89
PHX,2026-08-18 05:51,39.44
PHX,2026-08-18 06:51,38.33
PHX,2026-08-18 07:51,36.67
PHX,2026-08-18 08:51,35.56
PHX,2026-08-18 09:51,35.00
PHX,2026-08-18 10:51,34.44
PHX,2026-08-18 11:51,33.89
PHX,2026-08-18 12:51,33.33
PHX,2026-08-18 13:51,33.89
PHX,2026-08-18 14:51,35.56
PHX,2026-08-18 15:51,37.78
PHX,2026-08-18 16:51,39.44
PHX,2026-08-18 17:51,41.11
PHX,2026-08-18 18:51,41.67
PHX,2026-08-18 19:51,43.89
PHX,2026-08-18 20:51,42.78
PHX,2026-08-18 21:51,43.89
PHX,2026-08-18 22:51,43.89
PHX,2026-08-18 23:51,43.89
